index,row,col
1165,"[[4], [1, 2], [2, 1], [3], [1]]","[[0], [4], [1, 2], [2, 1], [3, 1]]"
1166,"[[2, 2], [2, 1], [1, 1], [1, 2], [3]]","[[1, 1], [3, 1], [1, 2], [1, 2], [3]]"
1167,"[[4], [2], [4], [2], [2]]","[[1], [1, 1, 1], [4], [4], [1, 1]]"
1168,"[[1, 2], [1, 2], [1], [3], [3, 1]]","[[2, 1], [1, 1], [2, 2], [2, 1], [2]]"
1169,"[[3], [5], [2, 2], [1], [1, 1]]","[[3, 1], [3], [2], [2, 1], [3]]"
1170,"[[1, 2], [1], [1, 2], [3], [1, 1]]","[[1, 3], [1], [1, 1], [1, 1], [2, 1]]"
1171,"[[1, 3], [2, 1], [3, 1], [1, 1], [1, 1]]","[[4], [2, 1], [1, 1], [1, 1], [3, 1]]"
1172,"[[1], [1], [3, 1], [3], [3]]","[[1, 1], [1, 1], [4], [1, 1], [2]]"
1173,"[[1, 1], [2, 1], [3], [1], [1, 2]]","[[2], [1, 1], [1], [1, 1], [5]]"
1174,"[[2], [2, 2], [5], [1], [1]]","[[3, 1], [3], [1], [2], [3]]"
1175,"[[1, 1], [1], [2, 1], [2, 2], [3]]","[[2], [1, 2], [1], [1, 2], [4]]"
1176,"[[1], [2], [1, 3], [0], [2, 2]]","[[1, 1], [1, 1], [2], [2, 1], [1, 1]]"
1177,"[[2, 2], [3], [1, 1], [0], [1]]","[[1], [1, 1], [1], [3], [2, 1]]"
1178,"[[1], [3], [3, 1], [5], [2]]","[[3], [3], [3], [2], [1, 3]]"
1179,"[[2, 1], [3], [1], [4], [1, 2]]","[[1, 2], [2, 1], [2, 1], [2], [1, 1, 1]]"
1180,"[[3], [1, 2], [3], [1], [2, 1]]","[[2, 1], [1, 1], [1, 1], [3], [2, 1]]"
1181,"[[3, 1], [2, 1], [1], [2], [2, 1]]","[[2], [2, 1], [1, 2], [1, 1], [1, 1, 1]]"
1182,"[[2, 1], [5], [1, 1, 1], [3, 1], [2, 1]]","[[5], [2, 2], [3], [2, 1], [3]]"
1183,"[[1, 1], [2, 1], [1, 1], [3], [1, 1]]","[[3], [2, 2], [2], [0], [2, 1]]"
1184,"[[1], [3], [4], [1], [2]]","[[0], [3], [2], [2, 1], [3]]"
1185,"[[1], [1], [4], [3, 1], [2, 1]]","[[2], [1, 3], [3], [1], [1, 2]]"
1186,"[[0], [3, 1], [3], [1, 1], [1, 1, 1]]","[[4], [2], [2, 1], [0], [1, 2]]"
1187,"[[1, 1], [1, 2], [5], [2], [3]]","[[2], [1, 1], [1, 1], [5], [4]]"
1188,"[[3], [0], [2, 1], [2], [1]]","[[1, 1, 1], [1, 1], [1, 1], [2], [0]]"
1189,"[[1, 2], [1, 2], [3], [2, 1], [3, 1]]","[[5], [3], [3, 1], [2], [2]]"
1190,"[[2, 1], [2, 2], [2], [2, 1], [1, 2]]","[[2, 1], [5], [1], [2, 1], [1, 2]]"
1191,"[[5], [2], [3], [1, 1], [2, 2]]","[[2, 1], [3, 1], [1, 2], [1, 1, 1], [1, 2]]"
1192,"[[4], [1], [1], [1, 1], [1, 3]]","[[1], [2], [1, 2], [1, 1], [1, 3]]"
1193,"[[1, 2], [2], [1, 1, 1], [1], [2]]","[[1, 1], [2], [1, 1], [2], [3]]"
1194,"[[4], [3], [2, 1], [1, 1], [1]]","[[1, 1], [1, 3], [2], [4], [1]]"
1195,"[[1, 2], [3], [2], [1, 1], [1, 2]]","[[1, 3], [2], [1, 2], [2, 1], [1]]"
1196,"[[1], [2], [1, 2], [1, 3], [3]]","[[2], [0], [3], [5], [1, 2]]"
1197,"[[2], [1, 1], [3], [1], [1]]","[[2], [1, 1], [3, 1], [1], [0]]"
1198,"[[1, 2], [2, 2], [1], [1], [1, 2]]","[[2, 1], [1, 1], [1, 1], [3, 1], [1]]"
1199,"[[1], [5], [1, 2], [2], [2]]","[[2], [1, 1], [3, 1], [3], [1, 1]]"
1200,"[[1, 1, 1], [3, 1], [1, 1, 1], [1, 1], [1, 2]]","[[5], [1], [5], [1], [3]]"
1201,"[[1], [1], [3], [1], [2]]","[[3], [3, 1], [1], [0], [0]]"
1202,"[[3], [4], [2, 1], [1, 2], [3, 1]]","[[1, 3], [3, 1], [2, 1], [1, 1], [4]]"
1203,"[[2, 1], [2], [1, 1], [2], [1, 1]]","[[3], [2], [2], [2], [1, 1]]"
1204,"[[1, 2], [1], [4], [2], [1, 2]]","[[3, 1], [1], [1, 1, 1], [1, 3], [1]]"
1205,"[[4], [2], [1, 1, 1], [1], [2, 1]]","[[1, 1, 1], [1, 1], [4], [2, 1], [1]]"
1206,"[[3, 1], [4], [1], [0], [1]]","[[3], [2], [2, 1], [1], [1]]"
1207,"[[1, 1], [2], [1], [3], [5]]","[[1, 1], [2, 2], [2], [1, 2], [1, 1]]"
1208,"[[1], [1, 1, 1], [2], [1, 2], [1, 3]]","[[2, 1], [1, 2], [1, 1], [2], [1, 2]]"
1209,"[[1, 1], [1], [1], [1, 1], [2]]","[[0], [1, 1, 1], [2], [0], [2, 1]]"
1210,"[[1, 2], [4], [1, 1], [1], [2]]","[[1], [4], [2, 1], [2], [2]]"
1211,"[[2, 1], [1, 2], [2], [3], [2, 1]]","[[2, 1], [1, 1], [2], [3], [2, 2]]"
1212,"[[1, 3], [3], [4], [1], [1, 1, 1]]","[[2, 1], [3], [3, 1], [1, 1], [1, 1, 1]]"
1213,"[[1, 1], [2, 2], [1, 2], [1, 2], [1, 2]]","[[2, 2], [2], [0], [4], [5]]"
1214,"[[2], [2], [2], [2, 1], [2, 1]]","[[1], [4], [4], [1, 1], [1]]"
1215,"[[4], [2, 1], [1, 1], [1, 1, 1], [3, 1]]","[[4], [2, 1], [1, 2], [1, 1], [2, 2]]"
1216,"[[1], [1, 2], [2, 1], [4], [1, 3]]","[[4], [1, 2], [2], [1, 2], [2, 1]]"
1217,"[[4], [0], [3], [2, 1], [1, 1, 1]]","[[1, 1, 1], [1, 2], [1, 3], [1], [2]]"
1218,"[[4], [1, 1], [1], [1, 1], [1, 2]]","[[2, 1], [1, 1, 1], [2], [1, 1], [2]]"
1219,"[[1, 1], [1, 3], [1, 2], [1], [2, 1]]","[[2, 1], [1], [2], [2], [5]]"
1220,"[[2], [2, 1], [4], [1, 1], [1, 1]]","[[4], [2], [1], [4], [1, 1]]"
1221,"[[3, 1], [1, 3], [1, 1], [4], [2, 1]]","[[2, 2], [1, 3], [2, 1], [4], [2]]"
1222,"[[2], [1, 1], [1, 1], [2, 2], [2]]","[[1, 1], [1], [2], [1, 2], [1, 3]]"
1223,"[[5], [3, 1], [4], [2, 1], [1, 1]]","[[2, 1], [5], [3], [1, 1, 1], [4]]"
1224,"[[3], [2], [1, 3], [1, 1], [1, 1]]","[[1], [1, 1], [3, 1], [4], [1, 1]]"
1225,"[[1, 1], [1, 1], [4], [1, 3], [1, 3]]","[[1, 2], [2], [3], [4], [1, 3]]"
1226,"[[1], [1], [3], [1, 1], [1, 2]]","[[2], [0], [2], [1, 3], [1, 1]]"
1227,"[[4], [0], [2, 2], [1, 1], [1, 1]]","[[1, 2], [1, 1, 1], [1], [1, 2], [1, 1]]"
1228,"[[2, 1], [3], [2, 1], [1], [1]]","[[2], [3], [2], [2, 1], [1]]"
1229,"[[1, 1, 1], [1], [2, 1], [3], [1]]","[[1, 1], [1], [1, 1], [1], [5]]"
1230,"[[2], [3], [1, 1, 1], [2, 2], [1, 1, 1]]","[[3], [1], [2, 1], [2, 1], [5]]"
1231,"[[1, 2], [4], [4], [4], [3]]","[[1, 2], [4], [4], [5], [2]]"
1232,"[[1], [2, 2], [1], [2, 2], [2]]","[[1, 1], [3], [0], [1, 2], [2, 2]]"
1233,"[[1, 2], [3], [1], [1, 2], [2]]","[[2], [1], [1, 2], [2, 2], [2]]"
1234,"[[3], [1], [3], [1, 2], [4]]","[[1], [1, 1, 1], [3, 1], [1, 3], [2]]"
1235,"[[3], [3], [3], [2], [1, 1]]","[[1], [3, 1], [3], [2, 1], [2]]"
1236,"[[2, 2], [3], [1, 3], [1, 1], [1]]","[[4], [2], [2, 1], [1, 2], [1, 1]]"
1237,"[[1], [1], [5], [1, 2], [2, 2]]","[[3], [1, 1], [1, 2], [4], [1, 1]]"
1238,"[[3], [1], [3], [3], [3, 1]]","[[1], [2], [5], [1, 2], [1, 1, 1]]"
1239,"[[2], [3], [4], [2], [2]]","[[2], [2, 1], [4], [1, 2], [1]]"
1240,"[[4], [2, 1], [1, 2], [3], [1]]","[[2, 2], [4], [1, 1], [3], [1]]"
1241,"[[2, 2], [2, 2], [2, 2], [1, 1], [1]]","[[3, 1], [3], [1], [3], [4]]"
1242,"[[1, 1], [1, 1], [4], [1, 1], [2]]","[[1, 2], [2, 1], [1], [1], [4]]"
1243,"[[4], [2, 2], [2], [4], [3]]","[[4], [5], [1, 2], [2, 2], [1]]"
1244,"[[1, 1], [1, 1, 1], [1], [1, 2], [1, 1, 1]]","[[1, 2], [1, 1], [1, 1], [1], [2, 2]]"
1245,"[[1, 3], [1, 3], [1, 1], [4], [1, 2]]","[[3, 1], [1], [2, 1], [2, 2], [5]]"
1246,"[[4], [1, 1], [1], [2], [1, 1]]","[[1, 2], [1, 1], [1, 1], [2, 1], [1]]"
1247,"[[1, 3], [1, 1], [1, 2], [2, 2], [1, 2]]","[[2, 2], [2], [1], [1, 3], [5]]"
1248,"[[1], [3], [3], [0], [1, 1, 1]]","[[1], [0], [2, 1], [3], [2, 1]]"
1249,"[[1, 1], [5], [1, 1, 1], [1, 1], [2]]","[[2, 1], [2, 2], [2], [2], [3]]"
1250,"[[2, 2], [1, 1], [0], [4], [1, 1, 1]]","[[2, 1], [1, 1], [2], [2, 1], [1, 2]]"
1251,"[[1, 1], [3], [1], [1, 2], [1, 1, 1]]","[[5], [1], [1, 1], [1], [1, 2]]"
1252,"[[2, 2], [0], [1, 1], [5], [1, 1]]","[[1, 3], [1, 1], [3], [1, 1], [1, 1]]"
1253,"[[3], [3], [4], [4], [3]]","[[2], [5], [5], [1, 3], [1]]"
1254,"[[1, 1], [2, 1], [1, 1], [2, 2], [4]]","[[2], [1, 2], [3, 1], [2], [4]]"
1255,"[[3], [1], [2, 1], [2], [1]]","[[1, 1], [1, 1, 1], [2], [2], [1]]"
1256,"[[1, 2], [1, 1, 1], [1], [2, 1], [2]]","[[1, 1], [1, 2], [2, 1], [1], [2, 1]]"
1257,"[[2, 1], [3, 1], [1], [2], [1]]","[[2, 1], [2, 2], [2], [0], [2]]"
1258,"[[1], [0], [1, 2], [2], [1, 1, 1]]","[[1], [2], [2], [1], [1, 1, 1]]"
1259,"[[1, 3], [5], [1, 1], [1, 2], [2, 1]]","[[4], [1, 1], [2, 2], [2, 1], [3, 1]]"
1260,"[[1, 2], [1, 2], [2, 1], [1], [4]]","[[1], [2, 1], [1, 1, 1], [2, 2], [2, 1]]"
1261,"[[2, 2], [3, 1], [1, 1], [1, 1], [1, 2]]","[[2], [2, 2], [2], [1, 1], [5]]"
1262,"[[1, 1], [1, 2], [3], [0], [1]]","[[2], [1, 1], [2], [1], [1, 1]]"
1263,"[[1], [3], [3, 1], [1, 3], [1]]","[[1, 2], [1], [3], [1, 2], [3]]"
1264,"[[1, 1], [2], [1], [1, 1], [1, 1]]","[[0], [1, 2], [0], [3], [1, 2]]"
1265,"[[2], [1, 1], [5], [1, 1, 1], [2]]","[[1, 2], [1, 1], [3], [1, 1], [4]]"
1266,"[[1, 2], [3], [1], [1, 1], [3]]","[[1, 1], [1, 2], [2, 1], [2, 2], [0]]"
1267,"[[1, 2], [3], [2, 1], [2], [1, 1]]","[[1, 2], [3], [2], [3], [1, 1]]"
1268,"[[0], [2], [3, 1], [3], [4]]","[[2, 1], [2, 1], [3], [2], [2]]"
1269,"[[2], [4], [2, 2], [1, 2], [5]]","[[3], [2, 1], [1, 1], [5], [5]]"
1270,"[[2, 1], [4], [1, 1], [1, 1], [3]]","[[1], [2, 1], [2, 2], [2, 1], [2, 1]]"
1271,"[[2], [1, 2], [5], [2], [1, 1, 1]]","[[1, 1], [2], [1, 1, 1], [4], [4]]"
1272,"[[2, 2], [2], [1], [1], [2]]","[[1, 1], [1, 2], [2], [2], [1]]"
1273,"[[1, 3], [0], [1], [1], [1, 2]]","[[1], [1, 1], [1], [1, 1], [1, 2]]"
1274,"[[5], [2], [5], [3], [4]]","[[1, 1, 1], [1, 1, 1], [1, 3], [5], [4]]"
1275,"[[1], [1, 1], [3], [2, 1], [2]]","[[1], [1], [3], [2, 1], [1, 2]]"
1276,"[[2, 1], [1, 1], [1, 2], [1], [2]]","[[2, 1], [1, 1, 1], [0], [1, 2], [2]]"
1277,"[[1, 1], [2], [1], [2, 2], [1, 2]]","[[2, 2], [3], [0], [2], [1, 2]]"
1278,"[[1, 1], [3, 1], [2, 1], [1, 1, 1], [1]]","[[1, 1], [3], [3], [1, 1], [3]]"
1279,"[[1, 1], [1, 1], [3], [3], [2, 2]]","[[1, 3], [3], [3], [1, 1], [1, 1]]"
1280,"[[0], [1], [2, 2], [2], [3]]","[[1], [1], [2], [4], [1, 1]]"
1281,"[[2, 2], [1, 1], [2, 2], [4], [1, 1]]","[[5], [1, 2], [1, 2], [1, 2], [1, 1]]"
1282,"[[1], [3, 1], [3], [2], [2, 1]]","[[1, 1], [1, 1], [2], [1, 2], [4]]"
1283,"[[1, 1, 1], [1], [1, 2], [1, 1], [4]]","[[1, 2], [1], [5], [1, 1], [1, 1]]"
1284,"[[1, 2], [2, 1], [1], [1, 1, 1], [1, 1]]","[[2], [3], [1, 2], [1], [2, 1]]"
1285,"[[2, 1], [4], [3, 1], [2], [2, 1]]","[[3], [5], [4], [2], [1, 1]]"
1286,"[[2], [4], [1, 1, 1], [1], [1]]","[[3, 1], [2], [2], [1, 1], [1]]"
1287,"[[3, 1], [1], [1, 1, 1], [5], [1]]","[[1, 3], [1, 1], [1, 2], [1, 1], [1, 2]]"
1288,"[[2, 1], [3], [3, 1], [1], [1, 1]]","[[3], [1, 1], [3], [1, 1], [3]]"
1289,"[[2, 1], [1, 1, 1], [2], [2, 1], [2]]","[[1, 2], [1, 2], [3], [2], [2]]"
1290,"[[3], [2], [1, 2], [2, 1], [1, 1]]","[[1, 1], [3], [1, 1], [1, 2], [1, 1, 1]]"
1291,"[[2], [4], [1], [1, 1], [1]]","[[0], [1], [4], [2], [1, 2]]"
1292,"[[2, 1], [3, 1], [2, 1], [4], [1]]","[[4], [5], [1, 1], [1], [3]]"
1293,"[[2, 2], [1, 1], [3], [1], [1, 1]]","[[1, 1], [3], [3], [2], [1, 1]]"
1294,"[[3], [2], [2, 1], [2, 1], [1, 1]]","[[1], [1, 2], [1, 3], [1], [4]]"
1295,"[[2], [2, 2], [1], [1, 2], [2, 1]]","[[1, 1], [1, 1], [1, 1], [2, 1], [4]]"
1296,"[[1, 1], [1, 2], [1, 1], [1, 1], [1]]","[[2], [1], [2, 2], [2], [1]]"
1297,"[[1], [3, 1], [4], [2, 1], [1, 1]]","[[1, 1], [3], [2, 1], [1], [5]]"
1298,"[[2, 1], [5], [4], [1], [2]]","[[2], [3], [4], [2, 1], [2, 1]]"
1299,"[[1, 1], [3], [2, 1], [5], [3]]","[[1, 1], [2], [5], [1, 2], [4]]"
1300,"[[1, 1], [2, 1], [2], [4], [0]]","[[3], [4], [1], [2, 1], [0]]"
1301,"[[4], [3], [1, 2], [5], [3]]","[[2, 1], [5], [2, 2], [1, 3], [2]]"
1302,"[[5], [1], [2], [3], [1, 2]]","[[1, 1], [1, 1], [2, 1], [1, 3], [1, 1, 1]]"
1303,"[[3], [1, 1], [2, 1], [2, 1], [3]]","[[1], [4], [1, 1, 1], [1, 2], [2, 1]]"
1304,"[[1, 1], [1, 1], [1, 2], [1, 1], [1]]","[[1, 1], [0], [4], [1], [1, 2]]"
1305,"[[4], [1, 2], [3, 1], [4], [1]]","[[2], [4], [1, 2], [2, 1], [3, 1]]"
1306,"[[1, 1], [1, 2], [1], [1, 2], [4]]","[[5], [1], [1, 2], [2, 2], [0]]"
1307,"[[1, 2], [1, 2], [1], [1, 1], [2]]","[[1, 1], [1, 2], [1], [2], [3]]"
1308,"[[1, 1], [3], [5], [1, 1, 1], [1, 1]]","[[2], [2, 1], [4], [2], [1, 3]]"
1309,"[[1, 1, 1], [2], [1, 3], [1, 3], [2, 1]]","[[4], [1, 1], [1, 3], [2], [1, 3]]"
1310,"[[2, 1], [1], [2], [4], [1, 1]]","[[1], [2, 1], [1, 1], [2], [1, 3]]"
1311,"[[2, 2], [1, 1], [4], [1, 1, 1], [1, 1]]","[[4], [1, 1, 1], [3], [1, 1, 1], [1, 1]]"
1312,"[[1], [2, 2], [3], [2], [2]]","[[2], [3], [2], [1, 2], [1, 1]]"
1313,"[[0], [1], [2], [1, 2], [2, 1]]","[[0], [2], [2, 1], [2], [2]]"
1314,"[[2, 1], [1, 3], [2], [3], [5]]","[[2, 2], [1, 3], [4], [1, 1], [2, 1]]"
1315,"[[1, 1], [2, 1], [1, 1], [3], [4]]","[[2, 1], [1, 1], [1, 3], [2], [2, 1]]"
1316,"[[1, 3], [1, 2], [2], [2], [1, 1]]","[[1], [1, 2], [1, 2], [3], [2, 1]]"
1317,"[[2], [1], [2, 1], [2, 1], [1, 1]]","[[2], [2], [1, 2], [1], [3]]"
1318,"[[2], [1, 1], [1, 1, 1], [1], [1, 2]]","[[1, 1], [1], [1, 1, 1], [2, 1], [2]]"
1319,"[[2, 2], [3], [2], [1, 2], [1, 1]]","[[1, 2], [3], [3], [2, 1], [1, 1]]"
1320,"[[2], [0], [1, 2], [1, 1], [1]]","[[0], [1], [1, 1], [1, 1, 1], [2]]"
1321,"[[1], [3], [1, 3], [4], [1]]","[[2], [1, 1], [3], [1, 2], [3]]"
1322,"[[1, 1], [1], [1, 1], [3], [1, 1]]","[[3, 1], [0], [1], [1], [1, 3]]"
1323,"[[1, 3], [5], [2], [1], [1]]","[[3], [2, 1], [2, 1], [2], [2]]"
1324,"[[3], [3], [2], [1, 1], [0]]","[[1], [1, 1], [3], [1, 1], [1, 1]]"
1325,"[[3, 1], [1, 1, 1], [1], [2, 1], [2, 1]]","[[2, 1], [1, 2], [4], [0], [2, 2]]"
1326,"[[1, 1], [0], [2], [0], [5]]","[[1, 1], [1, 1], [1, 1, 1], [1], [1]]"
1327,"[[1], [2, 1], [2], [0], [1, 1]]","[[2], [2], [1], [0], [2, 1]]"
1328,"[[2, 1], [4], [4], [1, 1], [3]]","[[1, 2], [3, 1], [2, 1], [2, 1], [2, 1]]"
1329,"[[5], [1], [1], [4], [1, 1]]","[[1], [1, 2], [1, 2], [2, 2], [1, 1]]"
1330,"[[1, 2], [2, 2], [4], [1, 1], [2, 1]]","[[2, 1], [2, 1], [1, 1], [4], [3, 1]]"
1331,"[[2, 1], [1, 1], [4], [4], [1, 3]]","[[1, 2], [4], [3], [4], [1, 1, 1]]"
1332,"[[1, 1], [4], [1, 1], [1, 1, 1], [2, 1]]","[[1, 3], [1, 1], [3], [1], [2, 2]]"
1333,"[[1, 1], [1, 1, 1], [1, 3], [3], [5]]","[[3, 1], [2], [4], [3], [3, 1]]"
1334,"[[1, 2], [1, 1], [3], [1, 3], [5]]","[[4], [1, 1, 1], [3], [2, 2], [1, 2]]"
1335,"[[2, 1], [2], [1, 1, 1], [0], [1]]","[[1, 1, 1], [2], [2], [1], [1]]"
1336,"[[1, 1, 1], [3], [3], [1], [1, 2]]","[[1], [2], [3], [2, 1], [3, 1]]"
1337,"[[3], [5], [0], [1], [3]]","[[2, 1], [2, 1], [2, 1], [1], [1, 1]]"
1338,"[[1], [1, 1, 1], [1, 1], [1, 1], [4]]","[[1, 1], [1, 2], [2, 1], [2], [2]]"
1339,"[[1], [2], [1, 1], [3], [2, 2]]","[[1, 1], [3], [1, 1], [1, 2], [1, 1]]"
1340,"[[2], [5], [1, 2], [1, 1], [1, 1]]","[[1, 1], [2, 1], [2, 1], [3, 1], [2]]"
1341,"[[3], [2, 2], [2], [0], [1, 1]]","[[2, 1], [2], [1, 1, 1], [2], [1]]"
1342,"[[2], [2, 1], [1, 1], [1, 1], [1]]","[[1, 1, 1], [2], [3], [0], [1, 1]]"
1343,"[[1, 2], [1, 3], [2, 1], [4], [1, 1]]","[[3], [3], [1, 1], [4], [2, 2]]"
1344,"[[2, 2], [1, 3], [2], [2, 2], [1]]","[[2, 1], [1, 3], [2], [2, 1], [2, 1]]"
1345,"[[2], [1, 3], [3], [1, 2], [2]]","[[1, 2], [1, 1], [3], [3], [3]]"
1346,"[[2], [1, 1], [2, 1], [1, 1], [2, 2]]","[[1, 1], [3, 1], [2], [1], [4]]"
1347,"[[5], [5], [1, 1], [4], [1, 1]]","[[5], [2, 1], [4], [2, 1], [2, 1]]"
1348,"[[1], [5], [3, 1], [5], [2]]","[[4], [4], [3], [1, 1], [4]]"
1349,"[[2, 1], [4], [2], [1], [4]]","[[4], [3, 1], [2, 1], [1, 1], [1]]"
1350,"[[3], [4], [1, 1], [1, 3], [2]]","[[2], [2], [2, 2], [2, 2], [3]]"
1351,"[[1, 2], [1, 3], [3], [1, 2], [5]]","[[1, 2], [1, 1, 1], [4], [5], [2, 1]]"
1352,"[[2], [3], [3, 1], [1, 1], [1, 3]]","[[4], [2], [3, 1], [1, 2], [1, 1]]"
1353,"[[1, 2], [1, 1], [1, 1], [1, 1], [1]]","[[2, 1], [1], [0], [1, 1, 1], [2, 1]]"
1354,"[[1, 1], [1, 2], [3], [1, 2], [5]]","[[2, 1], [3], [1, 1, 1], [1, 2], [2, 2]]"
1355,"[[1, 1], [0], [2], [2], [2, 2]]","[[1, 1], [1], [1], [1, 3], [2]]"
1356,"[[1, 1], [3, 1], [2, 2], [2], [2, 1]]","[[2, 1], [3, 1], [1, 1], [1, 3], [2]]"
1357,"[[2, 1], [0], [4], [2, 1], [2, 1]]","[[3], [1, 3], [1, 1], [2], [1, 1]]"
1358,"[[1, 1, 1], [1], [2], [1], [1]]","[[1, 1], [2], [1], [2], [1]]"
1359,"[[1, 2], [3], [1, 1], [3], [3]]","[[1], [1, 1], [4], [2, 2], [1, 2]]"
1360,"[[1, 1], [1, 3], [1, 1], [1, 2], [1, 1]]","[[2, 1], [2], [2], [1, 2], [3]]"
1361,"[[1, 2], [2, 1], [1], [2], [1]]","[[2, 2], [1, 1], [0], [3], [1]]"
1362,"[[0], [0], [1, 2], [1, 1], [2, 1]]","[[1], [1, 1], [1], [2], [1, 1]]"
1363,"[[2, 1], [1, 1], [2, 2], [1, 1], [1, 2]]","[[3, 1], [1, 1], [1], [3, 1], [3]]"
1364,"[[4], [2], [4], [2, 2], [1, 1]]","[[1, 1], [5], [3], [1, 3], [2]]"
1365,"[[4], [1], [2, 2], [1], [2]]","[[3], [1, 1, 1], [1, 1], [1, 1], [2]]"
1366,"[[2], [2, 1], [3], [1], [1, 1]]","[[1], [1], [4], [1, 1], [2, 1]]"
1367,"[[3, 1], [3], [1, 3], [1, 2], [1, 1]]","[[1, 1, 1], [1, 1], [3], [3], [5]]"
1368,"[[1, 1, 1], [1], [2, 1], [2, 1], [5]]","[[1, 2], [4], [1, 1, 1], [1], [1, 3]]"
1369,"[[1, 2], [4], [1, 2], [2], [1, 1]]","[[1, 1, 1], [1], [2], [4], [4]]"
1370,"[[2], [1, 1], [3], [1, 1], [1]]","[[1, 2], [1, 1], [2, 1], [0], [1, 1]]"
1371,"[[1, 2], [1], [2], [2], [3]]","[[2], [0], [2], [1, 3], [1, 1, 1]]"
1372,"[[1, 2], [5], [4], [2], [1, 2]]","[[2, 1], [4], [2], [3, 1], [3, 1]]"
1373,"[[1, 1], [2], [3], [1], [4]]","[[1, 1], [3], [2, 1], [3, 1], [0]]"
1374,"[[1, 1], [1, 2], [4], [1, 1], [3]]","[[1, 1], [5], [1, 1], [4], [1]]"
1375,"[[1, 1], [2], [1, 1, 1], [3], [5]]","[[1, 1], [2, 1], [4], [1, 2], [3]]"
1376,"[[5], [1], [1, 2], [2], [1, 1]]","[[1, 1], [1, 1], [1, 1], [1, 2], [4]]"
1377,"[[1, 2], [1], [1, 1], [4], [4]]","[[1, 1], [1, 2], [2], [5], [1, 1]]"
1378,"[[1, 2], [1], [1, 3], [2, 1], [1, 1]]","[[1, 2], [2], [3], [1, 2], [1, 1]]"
1379,"[[1], [2], [1, 2], [2], [3]]","[[1, 1, 1], [1, 1], [1, 2], [2], [1]]"
1380,"[[3], [1], [1], [1, 1], [1]]","[[0], [1], [3, 1], [1, 1], [1]]"
1381,"[[2, 1], [3, 1], [1, 1, 1], [5], [2, 1]]","[[5], [2, 2], [3], [1], [5]]"
1382,"[[1, 2], [1, 1], [1], [1], [1, 1, 1]]","[[2, 1], [1], [1, 1, 1], [1], [1, 1]]"
1383,"[[2, 2], [1], [0], [2], [1, 2]]","[[1, 2], [1, 1], [1], [2, 1], [1]]"
1384,"[[1], [1, 2], [1, 2], [2], [1, 1]]","[[4], [2], [2], [2], [1]]"
1385,"[[2, 1], [1, 3], [4], [2], [1]]","[[2], [1, 1], [4], [3], [3]]"
1386,"[[2], [3, 1], [3], [1], [1]]","[[1, 1], [1], [3, 1], [1, 1], [2]]"
1387,"[[4], [2], [1, 3], [5], [1]]","[[1, 2], [1, 1], [1, 3], [4], [3]]"
1388,"[[3, 1], [1, 1], [5], [3], [1, 2]]","[[5], [1, 2], [1, 2], [2, 1], [1, 1, 1]]"
1389,"[[1, 1], [2], [1, 1], [4], [1]]","[[1, 1], [2], [1, 1], [1, 2], [1, 1]]"
1390,"[[2], [1], [1, 1], [4], [2, 1]]","[[1, 1, 1], [1, 2], [1], [1], [4]]"
1391,"[[1, 1], [1, 1], [3], [1, 2], [3]]","[[4], [1, 1, 1], [2, 1], [1, 1], [1]]"
1392,"[[2], [3, 1], [4], [5], [4]]","[[3], [4], [5], [1, 3], [1, 2]]"
1393,"[[1, 1], [2, 1], [2], [4], [2]]","[[4], [3], [1, 1], [1, 2], [1]]"
1394,"[[4], [1, 2], [1], [2], [1, 1]]","[[2, 1], [1, 1], [2], [2, 2], [1]]"
1395,"[[1], [3], [3, 1], [1, 1], [3]]","[[1, 1], [2, 1], [4], [2], [2]]"
1396,"[[2, 1], [1, 1], [1, 1], [1, 2], [2]]","[[1, 1], [3], [2], [5], [0]]"
1397,"[[3], [1], [1], [3], [1, 1]]","[[1], [0], [1, 1], [2, 2], [1, 2]]"
1398,"[[1, 1], [2, 2], [1, 1, 1], [1, 1], [3]]","[[4], [1], [3], [1, 1], [3, 1]]"
1399,"[[2, 1], [2], [3], [1], [3, 1]]","[[1, 1], [1, 3], [2, 1], [3], [1]]"
1400,"[[0], [1, 2], [1], [1, 1], [3, 1]]","[[4], [1], [1, 2], [1], [1]]"
1401,"[[1], [3], [3, 1], [2], [4]]","[[1, 1], [2, 1], [3, 1], [1, 2], [2]]"
1402,"[[1], [3], [3, 1], [1, 2], [0]]","[[1, 2], [1], [3], [1, 1], [2]]"
1403,"[[1, 1], [1], [1, 2], [2, 2], [2]]","[[1, 1], [4], [1], [2], [1, 2]]"
1404,"[[1, 1], [2, 1], [1], [2], [2]]","[[1], [1, 2], [1, 2], [1], [1, 1]]"
1405,"[[1, 2], [2], [1], [2, 1], [2, 1]]","[[0], [1, 2], [3], [2], [2, 2]]"
1406,"[[3, 1], [1], [1, 2], [1, 2], [4]]","[[1, 1], [3, 1], [1, 2], [3], [1, 1, 1]]"
1407,"[[1, 1], [3], [1], [1, 1], [5]]","[[1], [1, 1], [4], [1, 1], [2, 2]]"
1408,"[[2], [3, 1], [2], [1], [2, 1]]","[[2], [2, 1], [4], [1], [1, 1]]"
1409,"[[0], [3, 1], [1, 1], [0], [0]]","[[2], [1], [1], [1], [1]]"
